Date,Open,High,Low,Close
04/22/2021,"34,109.88","34,126.57","33,717.19","33,815.90"
04/21/2021,"33,808.30","34,160.34","33,773.80","34,137.31"
04/20/2021,"34,034.18","34,034.18","33,687.01","33,821.30"
04/19/2021,"34,182.38","34,182.38","33,980.56","34,077.63"
04/16/2021,"34,058.16","34,256.75","34,058.16","34,200.67"
04/15/2021,"33,788.53","34,068.73","33,788.53","34,035.99"
04/14/2021,"33,668.95","33,911.25","33,668.95","33,730.89"
04/13/2021,"33,721.16","33,741.64","33,545.84","33,677.27"
04/12/2021,"33,775.06","33,786.19","33,665.54","33,745.40"
04/09/2021,"33,526.19","33,810.87","33,526.19","33,800.60"
04/08/2021,"33,469.89","33,506.80","33,342.64","33,503.57"
04/07/2021,"33,444.98","33,521.76","33,347.96","33,446.26"
04/06/2021,"33,500.02","33,544.79","33,380.43","33,430.24"
04/05/2021,"33,222.38","33,617.95","33,222.38","33,527.19"
04/01/2021,"33,054.58","33,167.17","32,985.35","33,153.21"
03/31/2021,"33,116.04","33,173.77","32,980.57","32,981.55"
03/30/2021,"33,127.88","33,170.93","32,988.92","33,066.96"
03/29/2021,"33,087.55","33,259.00","32,905.13","33,171.37"
03/26/2021,"32,681.07","33,098.83","32,681.07","33,072.88"
03/25/2021,"32,346.81","32,672.69","32,071.41","32,619.48"
03/24/2021,"32,470.88","32,787.99","32,418.15","32,420.06"
03/23/2021,"32,691.50","32,753.77","32,356.28","32,423.15"
03/22/2021,"32,601.82","32,810.35","32,512.53","32,731.20"
03/19/2021,"32,858.36","32,858.36","32,505.07","32,627.97"
03/18/2021,"32,928.16","33,227.78","32,831.25","32,862.30"
03/17/2021,"32,825.52","33,047.58","32,782.18","33,015.37"
03/16/2021,"32,966.75","32,966.75","32,778.23","32,825.95"
03/15/2021,"32,798.84","32,973.40","32,629.75","32,953.46"
03/12/2021,"32,462.40","32,793.32","32,462.40","32,778.64"
03/11/2021,"32,354.50","32,661.59","32,345.70","32,485.59"
03/10/2021,"31,906.96","32,389.50","31,906.96","32,297.02"
03/09/2021,"31,892.35","32,150.32","31,822.64","31,832.74"
03/08/2021,"31,512.15","32,148.04","31,512.15","31,802.44"
03/05/2021,"31,029.18","31,580.33","30,766.81","31,496.30"
03/04/2021,"31,289.01","31,461.97","30,547.53","30,924.14"
03/03/2021,"31,352.96","31,563.31","31,260.14","31,270.09"
03/02/2021,"31,535.37","31,623.27","31,377.16","31,391.52"
03/01/2021,"31,065.90","31,668.34","31,065.90","31,535.51"
