Date,Open,High,Low,Close
04/22/2022,"34,727.38","34,727.38","33,773.39","33,811.40"
04/21/2022,"35,258.80","35,492.22","34,723.82","34,792.76"
04/20/2022,"34,962.67","35,315.40","34,962.67","35,160.79"
04/19/2022,"34,394.62","34,983.11","34,394.62","34,911.20"
04/18/2022,"34,411.49","34,618.29","34,279.08","34,411.69"
04/14/2022,"34,628.46","34,889.17","34,437.50","34,451.23"
04/13/2022,"34,166.64","34,598.36","34,140.64","34,564.59"
04/12/2022,"34,412.51","34,669.97","34,102.81","34,220.36"
04/11/2022,"34,630.27","34,701.34","34,272.29","34,308.08"
04/08/2022,"34,569.24","34,908.46","34,470.19","34,721.12"
04/07/2022,"34,439.24","34,705.83","34,190.95","34,583.57"
04/06/2022,"34,520.34","34,609.84","34,277.17","34,496.51"
04/05/2022,"34,876.33","35,112.21","34,566.04","34,641.18"
04/04/2022,"34,799.98","34,940.78","34,615.38","34,921.88"
04/01/2022,"34,740.89","34,847.91","34,538.25","34,818.27"
03/31/2022,"35,201.52","35,201.52","34,677.99","34,678.35"
03/30/2022,"35,273.63","35,361.36","35,058.58","35,228.81"
03/29/2022,"35,114.35","35,372.26","35,030.07","35,294.19"
03/28/2022,"34,833.03","34,957.93","34,552.23","34,955.89"
03/25/2022,"34,702.39","34,942.70","34,631.52","34,861.24"
03/24/2022,"34,406.81","34,713.56","34,355.42","34,707.94"
03/23/2022,"34,748.84","34,748.84","34,352.96","34,358.50"
03/22/2022,"34,583.24","34,882.03","34,583.24","34,807.46"
03/21/2022,"34,669.85","34,808.28","34,341.81","34,552.99"
03/18/2022,"34,466.72","34,755.20","34,279.83","34,754.93"
03/17/2022,"33,995.39","34,483.92","33,896.06","34,480.76"
03/16/2022,"33,653.93","34,075.94","33,391.24","34,063.10"
03/15/2022,"32,989.27","33,620.84","32,989.27","33,544.34"
03/14/2022,"33,000.37","33,395.59","32,818.16","32,945.24"
03/11/2022,"33,279.72","33,515.61","32,911.89","32,944.19"
03/10/2022,"33,106.77","33,236.59","32,819.76","33,174.07"
03/09/2022,"32,860.42","33,457.28","32,860.42","33,286.25"
03/08/2022,"32,885.17","33,402.98","32,578.73","32,632.64"
03/07/2022,"33,579.75","33,579.75","32,806.15","32,817.38"
03/04/2022,"33,655.43","33,655.43","33,254.12","33,614.80"
03/03/2022,"33,972.87","34,179.07","33,641.53","33,794.66"
03/02/2022,"33,379.51","34,013.67","33,379.51","33,891.35"
03/01/2022,"33,813.48","33,870.14","33,107.67","33,294.95"
02/28/2022,"33,870.62","33,963.63","33,469.31","33,892.60"
02/25/2022,"33,277.22","34,095.74","33,277.22","34,058.75"
02/24/2022,"32,830.33","33,269.34","32,272.64","33,223.83"
02/23/2022,"33,680.97","33,832.59","33,084.90","33,131.76"
02/22/2022,"33,974.09","34,024.74","33,364.29","33,596.61"
02/18/2022,"34,310.45","34,423.58","33,976.18","34,079.18"
02/17/2022,"34,858.47","34,858.47","34,246.23","34,312.03"
02/16/2022,"34,951.83","35,042.09","34,642.64","34,934.27"
02/15/2022,"34,686.19","35,047.79","34,686.19","34,988.84"
02/14/2022,"34,694.50","34,744.56","34,304.28","34,566.17"
02/11/2022,"35,267.89","35,431.15","34,620.52","34,738.06"
02/10/2022,"35,630.81","35,800.24","35,100.72","35,241.59"
02/09/2022,"35,614.90","35,824.28","35,614.90","35,768.06"
02/08/2022,"35,160.68","35,544.89","35,090.42","35,462.78"
02/07/2022,"35,108.38","35,325.01","34,993.98","35,091.13"
02/04/2022,"35,095.74","35,333.55","34,799.08","35,089.74"
02/03/2022,"35,520.08","35,535.94","35,071.06","35,111.16"
02/02/2022,"35,378.19","35,679.20","35,290.12","35,629.33"
02/01/2022,"35,151.47","35,441.09","34,977.95","35,405.24"
01/31/2022,"34,691.17","35,148.14","34,496.10","35,131.86"
01/28/2022,"34,135.24","34,731.77","33,807.51","34,725.47"
01/27/2022,"34,261.75","34,773.32","34,007.78","34,160.78"
01/26/2022,"34,520.82","34,815.67","33,876.48","34,168.09"
01/25/2022,"34,186.64","34,591.04","33,545.52","34,297.73"
01/24/2022,"34,070.61","34,420.99","33,150.33","34,364.50"
01/21/2022,"34,701.69","34,896.67","34,229.55","34,265.37"
01/20/2022,"35,102.66","35,490.20","34,670.12","34,715.39"
01/19/2022,"35,412.30","35,547.83","35,015.49","35,028.65"
01/18/2022,"35,661.76","35,661.76","35,262.02","35,368.47"
01/14/2022,"35,996.43","35,996.43","35,641.49","35,911.81"
01/13/2022,"36,312.49","36,513.88","36,044.22","36,113.62"
01/12/2022,"36,336.16","36,453.49","36,168.15","36,290.32"
01/11/2022,"36,058.85","36,271.47","35,769.38","36,252.02"
01/10/2022,"36,175.21","36,175.21","35,639.91","36,068.87"
01/07/2022,"36,249.59","36,382.84","36,111.53","36,231.66"
01/06/2022,"36,409.05","36,464.19","36,200.68","36,236.47"
01/05/2022,"36,722.60","36,952.65","36,400.39","36,407.11"
01/04/2022,"36,636.00","36,934.84","36,636.00","36,799.65"
01/03/2022,"36,321.59","36,595.82","36,246.45","36,585.06"
12/31/2021,"36,385.85","36,484.94","36,303.97","36,338.30"
12/30/2021,"36,522.48","36,679.44","36,372.13","36,398.08"
12/29/2021,"36,421.14","36,571.55","36,396.19","36,488.63"
12/28/2021,"36,302.99","36,527.26","36,302.99","36,398.21"
12/27/2021,"35,954.48","36,306.61","35,954.48","36,302.38"
12/23/2021,"35,782.42","36,060.99","35,782.42","35,950.56"
12/22/2021,"35,491.71","35,764.67","35,433.13","35,753.89"
12/21/2021,"35,069.50","35,508.96","35,069.50","35,492.70"
12/20/2021,"35,222.12","35,222.12","34,665.50","34,932.16"
12/17/2021,"35,800.11","35,800.11","35,284.26","35,365.44"
12/16/2021,"36,036.28","36,189.83","35,778.21","35,897.64"
12/15/2021,"35,549.35","35,943.84","35,389.30","35,927.43"
12/14/2021,"35,605.73","35,779.47","35,441.74","35,544.18"
12/13/2021,"35,958.93","35,958.93","35,609.53","35,650.95"
12/10/2021,"35,830.55","35,982.69","35,710.43","35,970.99"
12/09/2021,"35,722.26","35,864.24","35,577.14","35,754.69"
12/08/2021,"35,716.85","35,840.52","35,602.65","35,754.75"
12/07/2021,"35,423.99","35,819.47","35,423.99","35,719.43"
12/06/2021,"34,633.43","35,356.75","34,633.43","35,227.03"
12/03/2021,"34,692.78","34,801.31","34,264.57","34,580.08"
12/02/2021,"34,076.25","34,759.65","34,076.25","34,639.79"
12/01/2021,"34,678.94","35,004.64","34,006.98","34,022.04"
11/30/2021,"35,056.99","35,056.99","34,424.44","34,483.72"
11/29/2021,"35,017.71","35,287.91","34,895.89","35,135.94"
11/26/2021,"35,366.69","35,366.69","34,749.80","34,899.34"
11/24/2021,"35,752.31","35,825.47","35,591.03","35,804.38"
11/23/2021,"35,619.92","35,841.52","35,542.87","35,813.80"
11/22/2021,"35,631.41","35,929.66","35,615.55","35,619.25"
11/19/2021,"35,879.09","35,879.09","35,555.37","35,601.98"
11/18/2021,"35,901.69","35,952.63","35,654.39","35,870.95"
11/17/2021,"36,159.70","36,159.70","35,909.48","35,931.05"
11/16/2021,"36,076.18","36,316.61","36,076.18","36,142.22"
11/15/2021,"36,128.83","36,236.07","36,031.78","36,087.45"
11/12/2021,"35,963.78","36,147.63","35,934.59","36,100.31"
11/11/2021,"36,038.78","36,108.17","35,915.27","35,921.23"
11/10/2021,"36,299.25","36,346.61","36,009.50","36,079.94"
11/09/2021,"36,404.53","36,416.98","36,173.07","36,319.98"
11/08/2021,"36,416.46","36,565.73","36,334.42","36,432.22"
